INSEE_COM;Annee;NbMaisonsVendues;NbAppartsVendus;PrixMoyen;Prixm2Moyen;SurfaceMoy;;PrixMoyenGen
22068;2021;9;0;131111,11;1063,00;120,11;;
22069;2018;5;0;130700,00;1116,20;113,00;;
22069;2019;6;0;156416,67;1245,33;132,17;;
22069;2020;5;0;176116,80;1249,00;133,20;;
22069;2021;5;0;174900,00;1384,00;128,40;;
22070;2018;73;29;96261,20;1156,24;87,69;;
22070;2019;60;52;94137,28;1164,82;84,03;;
22070;2020;60;62;84948,34;1157,44;77,51;;
22070;2021;115;60;104981,97;1405,43;77,65;;
22071;2018;14;0;107658,57;1295,29;81,64;;
22071;2019;6;0;115333,33;1400,50;91,50;;
22071;2020;11;0;110054,55;1215,27;92,09;;
22071;2021;4;0;101750,00;1176,50;79,50;;
22072;2018;6;0;86087,83;1053,33;79,00;;
22072;2019;5;0;80900,00;1321,60;65,00;;
22072;2020;8;0;63241,50;881,75;67,50;;
22072;2021;10;0;83900,00;1345,30;70,90;;
22073;2018;4;0;109837,50;1174,00;95,00;;
22073;2019;6;0;109950,00;1044,67;102,17;;
22073;2020;4;0;151875,00;1316,75;121,00;;
22073;2021;10;0;158185,00;1406,90;116,00;;
22074;2018;8;0;108047,50;1119,00;111,00;;
22074;2019;12;0;112933,33;1096,58;101,58;;
22074;2020;16;0;80181,25;808,69;101,38;;
22074;2021;17;0;113519,12;1124,53;104,47;;
22075;2018;4;0;82440,00;931,50;88,00;;
22075;2019;5;0;90000,00;974,20;86,80;;
22075;2020;7;0;115285,71;1051,71;108,86;;
22075;2021;6;0;113833,33;1276,50;90,83;;
22076;2018;21;0;134769,05;1392,10;101,29;;
22076;2019;14;1;130700,00;1128,73;120,33;;
22076;2020;23;0;138865,22;1712,91;84,83;;
22076;2021;28;0;175700,93;1735,86;108,57;;
22077;2018;8;0;134562,50;1665,25;96,00;;
22077;2019;15;0;122886,67;1189,67;106,73;;
22077;2020;15;0;176182,27;1578,20;108,53;;
22077;2021;24;0;176598,75;1711,79;104,04;;
22079;2018;5;0;115720,00;1106,80;96,20;;
22079;2019;15;0;102540,33;1231,80;80,67;;
22079;2020;11;0;159131,82;1550,64;103,91;;
22079;2021;14;0;147317,86;1381,00;109,57;;
22081;2018;38;1;123504,36;1433,51;87,90;;
22081;2019;43;0;159689,56;1610,00;102,02;;
22081;2020;47;4;191414,12;1846,69;104,80;;
22081;2021;57;3;181259,05;1915,55;94,83;;
22082;2018;10;0;174500,00;1784,40;102,10;;
22082;2019;16;0;153718,75;1530,00;104,38;;
22082;2020;13;0;177089,62;1601,69;111,69;;
22082;2021;13;1;212512,29;1894,14;117,57;;
22083;2018;5;0;102000,00;800,00;130,80;;
22083;2019;13;0;91845,00;979,00;91,69;;
22083;2020;12;0;90666,67;866,00;99,08;;
22083;2021;7;0;82494,29;914,71;87,43;;
22084;2018;19;3;126593,18;1234,77;115,77;;
22084;2019;27;2;116642,55;1425,69;88,69;;
22084;2020;40;1;124296,34;1288,66;95,41;;
22084;2021;48;5;164750,32;1895,79;96,40;;
22085;2018;5;0;228760,00;1994,00;99,40;;
22085;2019;8;0;206375,00;2086,63;107,00;;
22085;2020;3;0;298066,67;2158,00;157,67;;
22085;2021;7;0;336102,86;2871,86;105,71;;
22086;2018;2;0;116500,00;1312,00;135,00;;
22086;2019;17;0;148658,82;1375,88;110,82;;
22086;2020;11;0;193687,27;1583,00;116,09;;
22086;2021;13;0;217346,15;1782,00;124,15;;
22087;2018;6;0;85847,50;951,00;97,83;;
22087;2019;15;0;63835,00;829,00;71,00;;
22087;2020;11;0;90589,18;854,64;99,00;;
22087;2021;18;0;99227,50;1040,61;89,39;;
22088;2018;4;0;69950,00;694,75;94,00;;
22088;2019;5;0;96500,00;1460,80;80,20;;
22088;2020;6;0;98366,67;1113,67;91,33;;
22088;2021;7;0;103902,14;1218,57;88,71;;
22090;2018;15;0;160904,33;1553,73;105,60;;
22090;2019;18;0;148219,44;1434,00;109,94;;
22090;2020;15;0;169440,27;1457,33;116,60;;
22090;2021;20;0;176617,80;1985,40;100,45;;
22091;2018;4;0;136500,00;1471,25;96,00;;
22091;2019;6;0;104966,67;1163,33;99,50;;
22091;2020;5;0;106400,00;1112,80;97,60;;
22091;2021;14;0;133805,00;1424,86;94,36;;
22092;2018;4;0;74000,00;897,75;96,75;;
22092;2019;1;0;50000,00;403,00;124,00;;
22092;2020;8;0;101113,13;898,00;117,63;;
22092;2021;12;0;79108,33;868,83;98,92;;
22093;2018;166;42;161688,62;1740,19;95,86;;
22093;2019;166;77;147853,29;1687,11;88,13;;
22093;2020;183;54;180385,92;1853,25;98,08;;
22093;2021;224;64;187230,56;2075,29;93,60;;
22094;2018;34;6;295208,75;3224,40;96,78;;
22094;2019;28;6;278010,35;3257,09;91,06;;
22094;2020;32;5;417907,49;4161,00;95,76;;
22094;2021;38;12;456143,16;4113,44;108,46;;
22095;2018;1;0;100000,00;909,00;110,00;;
22095;2019;1;0;92000,00;902,00;102,00;;
22095;2020;5;0;93800,00;1265,40;83,80;;
22095;2021;2;0;70000,00;673,00;104,50;;
22096;2018;6;0;130508,33;1344,83;97,17;;
22096;2019;6;0;124916,67;1364,00;95,00;;
22096;2020;8;0;114000,00;1332,13;86,38;;
22096;2021;10;0;145850,00;1528,20;96,30;;
22097;2018;4;0;116400,00;1148,25;98,50;;
22097;2019;9;0;169238,89;1341,33;128,11;;
22097;2020;9;0;150403,00;1522,22;94,00;;
22097;2021;10;0;177840,00;1695,80;109,80;;
22098;2018;14;0;138905,00;1369,07;103,21;;
22098;2019;14;0;146698,57;1315,00;112,29;;
22098;2020;17;0;191522,59;1533,53;124,00;;
22098;2021;12;0;173622,50;1539,42;122,75;;
